Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8,Q17_Part_1,Q17_Part_2,Q17_Part_3,Q17_Part_4,Q17_Part_5,Q17_Part_6,Q17_Part_7,Q17_Part_8,Q17_Part_9,Q17_Part_10,Q17_Part_11,Q17_OTHER,Q24
In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,For how many years have you been writing code and/or programming?,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Python,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - R,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - SQL,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - C,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - C++,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Java,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Javascript,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Julia,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Swift,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Bash,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - MATLAB,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - None,What programming languages do you use on a regular basis? (Select all that apply) - Selected Choice - Other,What programming language would you recommend an aspiring data scientist to learn first? - Selected Choice,Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Linear or Logistic Regression,Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Decision Trees or Random Forests,"Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Gradient Boosting Machines (xgboost, lightgbm, etc)",Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Bayesian Approaches,Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Evolutionary Approaches,"Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Dense Neural Networks (MLPs, etc)",Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Convolutional Neural Networks,Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Generative Adversarial Networks,Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Recurrent Neural Networks,"Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Transformer Networks (BERT, gpt-3, etc)",Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - None,Which of the following ML algorithms do you use on a regular basis? (Select all that apply): - Selected Choice - Other,What is your current yearly compensation (approximate $USD)?
Colombia,Doctoral degree,Student,5-10 years,Python,R,SQL,C,,,Javascript,,,,MATLAB,,Other,Python,,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,,,,
United States of America,Master’s degree,Data Engineer,5-10 years,Python,R,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"100,000-124,999"
Argentina,Bachelor’s degree,Software Engineer,10-20 years,,,,,,Java,Javascript,,,Bash,,,,R,,,,,,,,,,,,,"15,000-19,999"
United States of America,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,"Dense Neural Networks (MLPs, etc)",,,,,,,"125,000-149,999"
Japan,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Data Analyst,< 1 years,Python,R,,,,,,,,,,,,Python,,,,,,,,,,,,,
Brazil,Bachelor’s degree,Student,3-5 years,Python,R,,C,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,
China,Master’s degree,Student,< 1 years,,R,,,,,,,,,,,,R,,,,,,,Convolutional Neural Networks,,,,,,
Germany,Doctoral degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python,,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,Convolutional Neural Networks,,,,,,"70,000-79,999"
China,No formal education past high school,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,R,SQL,C,,Java,,,,,,,,Python,,,,,,,,,,,,,
United States of America,Doctoral degree,Research Scientist,1-2 years,,R,,,,,,,,,,,,R,Linear or Logistic Regression,,,,,,,,,,,,"30,000-39,999"
Indonesia,Bachelor’s degree,Student,< 1 years,Python,R,SQL,,,,,,,,MATLAB,,,R,,,,,,,,,,,None,,
Canada,Bachelor’s degree,Data Engineer,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,,"Transformer Networks (BERT, gpt-3, etc)",,,"90,000-99,999"
Switzerland,Bachelor’s degree,Other,< 1 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,"70,000-79,999"
India,Bachelor’s degree,Student,1-2 years,,R,SQL,,,,,,,,,,,R,,,,,,,,,,,,,
Other,Bachelor’s degree,Currently not employed,3-5 years,,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,
Singapore,Bachelor’s degree,Student,3-5 years,Python,,,,,Java,Javascript,,,Bash,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,,Javascript,,,,,,,Python,,,,,,,,,,,,,
India,Bachelor’s degree,Student,1-2 years,Python,,,,,Java,Javascript,,,,,,,C++,Linear or Logistic Regression,,,,,"Dense Neural Networks (MLPs, etc)",Convolutional Neural Networks,,Recurrent Neural Networks,"Transformer Networks (BERT, gpt-3, etc)",,,
India,Doctoral degree,Statistician,3-5 years,,R,SQL,,C++,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"1,000-1,999"
Russia,Bachelor’s degree,Data Scientist,< 1 years,Python,,SQL,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,"Dense Neural Networks (MLPs, etc)",,,,,,,$0-999
Canada,Master’s degree,Product/Project Manager,1-2 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,"125,000-149,999"
South Africa,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,Python,,,,,,,,,,,,,"10,000-14,999"
United States of America,Master’s degree,Software Engineer,20+ years,Python,,,C,C++,,,,,,,,Other,Python,Linear or Logistic Regression,,,,,,Convolutional Neural Networks,,,,,,"150,000-199,999"
United States of America,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,Bayesian Approaches,,,,,,,,,
India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Egypt,Bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python,Linear or Logistic Regression,Decision Trees or Random Forests,,,,,,,,,,,
Netherlands,Bachelor’s degree,Software Engineer,10-20 years,Python,,,,,,,,,,,,,Python,Linear or Logistic Regression,,"Gradient Boosting Machines (xgboost, lightgbm, etc)",Bayesian Approaches,,,Convolutional Neural Networks,,,,,,"60,000-69,999"
