Q3,Q4,Q5,Q6,Q8
Colombia,Doctoral degree,Student,5-10 years,Python
United States of America,Master’s degree,Data Engineer,5-10 years,Python
Argentina,Bachelor’s degree,Software Engineer,10-20 years,R
United States of America,Master’s degree,Data Scientist,5-10 years,Python
Japan,Master’s degree,Software Engineer,3-5 years,Python
India,Bachelor’s degree,Data Analyst,< 1 years,Python
Brazil,Bachelor’s degree,Student,3-5 years,Python
China,Master’s degree,Student,< 1 years,R
Germany,Doctoral degree,Data Scientist,5-10 years,Python
China,No formal education past high school,Student,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
United States of America,Doctoral degree,Research Scientist,1-2 years,R
Indonesia,Bachelor’s degree,Student,< 1 years,R
Canada,Bachelor’s degree,Data Engineer,< 1 years,Python
Switzerland,Bachelor’s degree,Other,< 1 years,Python
India,Bachelor’s degree,Student,1-2 years,R
Other,Bachelor’s degree,Currently not employed,3-5 years,Python
Singapore,Bachelor’s degree,Student,3-5 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,C++
India,Doctoral degree,Statistician,3-5 years,Python
Russia,Bachelor’s degree,Data Scientist,< 1 years,Python
Canada,Master’s degree,Product/Project Manager,1-2 years,Python
South Africa,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python
United States of America,Master’s degree,Software Engineer,20+ years,Python
United States of America,Master’s degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,3-5 years,Python
Egypt,Bachelor’s degree,Student,1-2 years,Python
Netherlands,Bachelor’s degree,Software Engineer,10-20 years,Python
Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
Pakistan,Master’s degree,Data Analyst,5-10 years,SQL
India,Bachelor’s degree,Student,3-5 years,Python
Other,Doctoral degree,Machine Learning Engineer,10-20 years,Python
India,Bachelor’s degree,Student,< 1 years,Python
Nepal,Bachelor’s degree,Student,3-5 years,Python
Indonesia,Master’s degree,Data Scientist,3-5 years,SQL
South Korea,Master’s degree,Currently not employed,5-10 years,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Python
United States of America,Master’s degree,Student,3-5 years,Python
Indonesia,Doctoral degree,Data Analyst,5-10 years,Python
India,Master’s degree,Other,10-20 years,Java
Poland,Master’s degree,Currently not employed,1-2 years,Python
Belarus,Master’s degree,Machine Learning Engineer,1-2 years,MATLAB
India,Doctoral degree,Other,3-5 years,Python
India,Professional degree,,,
Other,Bachelor’s degree,Software Engineer,1-2 years,Python
Tunisia,Master’s degree,Data Scientist,5-10 years,Python
Ukraine,Master’s degree,Data Scientist,3-5 years,Python
Belgium,Master’s degree,Data Analyst,1-2 years,Python
United States of America,Master’s degree,Other,< 1 years,Python
United States of America,Master’s degree,Software Engineer,10-20 years,Python
Germany,Doctoral degree,,,
Pakistan,Bachelor’s degree,Software Engineer,1-2 years,Python
Taiwan,Master’s degree,Software Engineer,5-10 years,Python
Brazil,Master’s degree,Student,1-2 years,C++
United States of America,Doctoral degree,Data Analyst,1-2 years,Python
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python
Indonesia,Bachelor’s degree,Data Scientist,< 1 years,R
Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Python
Nigeria,Doctoral degree,Student,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,C++
Germany,Doctoral degree,Research Scientist,10-20 years,R
China,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python
China,Master’s degree,Currently not employed,< 1 years,Python
Italy,Doctoral degree,Research Scientist,1-2 years,R
India,Professional degree,Software Engineer,10-20 years,Python
Taiwan,Master’s degree,Student,1-2 years,Python
United States of America,Master’s degree,Machine Learning Engineer,20+ years,C
Taiwan,Master’s degree,Other,3-5 years,Python
India,Master’s degree,Student,< 1 years,Python
Other,Bachelor’s degree,Data Analyst,1-2 years,Python
Other,Doctoral degree,Other,5-10 years,Python
Spain,Master’s degree,Software Engineer,1-2 years,R
Singapore,Bachelor’s degree,Other,5-10 years,Python
India,Bachelor’s degree,Data Scientist,< 1 years,R
Russia,Master’s degree,Machine Learning Engineer,3-5 years,Python
India,Master’s degree,Other,< 1 years,Python
Other,Professional degree,Data Analyst,1-2 years,Python
Other,Doctoral degree,Other,< 1 years,SQL
United Arab Emirates,Master’s degree,Research Scientist,5-10 years,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Python
Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Python
Spain,Master’s degree,Other,< 1 years,Python
India,No formal education past high school,Student,1-2 years,Python
Colombia,Master’s degree,Data Scientist,10-20 years,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Python
Mexico,Bachelor’s degree,Student,1-2 years,Python
Canada,Master’s degree,Data Scientist,10-20 years,Python
India,Bachelor’s degree,Data Analyst,3-5 years,Python
India,I prefer not to answer,Machine Learning Engineer,1-2 years,Python
India,Master’s degree,Currently not employed,1-2 years,Python
India,Master’s degree,Other,< 1 years,Python
Other,Doctoral degree,,,
Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years,Python
Poland,Master’s degree,Machine Learning Engineer,3-5 years,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years,R
Other,Bachelor’s degree,Software Engineer,5-10 years,Python
Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
India,Bachelor’s degree,Student,1-2 years,Python
United States of America,Bachelor’s degree,Other,1-2 years,Python
France,No formal education past high school,Currently not employed,3-5 years,Other
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Python
Brazil,Professional degree,Business Analyst,< 1 years,Python
Argentina,Doctoral degree,,,
Colombia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Python
Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python
Egypt,Master’s degree,Data Scientist,5-10 years,Python
United States of America,Doctoral degree,Student,1-2 years,MATLAB
Viet Nam,Bachelor’s degree,Student,3-5 years,C
India,Professional degree,Currently not employed,< 1 years,Python
Other,Master’s degree,Data Analyst,< 1 years,Python
United States of America,Master’s degree,Data Scientist,5-10 years,SQL
Ghana,I prefer not to answer,Student,1-2 years,Python
Russia,Doctoral degree,Research Scientist,10-20 years,Python
Japan,Master’s degree,,,
United States of America,Doctoral degree,Data Scientist,10-20 years,Python
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Python
Poland,Master’s degree,Software Engineer,3-5 years,Python
