Q3,Q4,Q5,Q6,prog_lang,selected_lang
Colombia,Doctoral degree,Student,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Engineer,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Japan,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
Brazil,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Germany,Doctoral degree,Data Scientist,5-10 years,Q7_Part_1,Python
China,No formal education past high school,Student,< 1 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Indonesia,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Canada,Bachelor’s degree,Data Engineer,< 1 years,Q7_Part_1,Python
Switzerland,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
Singapore,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Russia,Bachelor’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
Canada,Master’s degree,Product/Project Manager,1-2 years,Q7_Part_1,Python
South Africa,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,20+ years,Q7_Part_1,Python
United States of America,Master’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Egypt,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Netherlands,Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
Pakistan,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Other,Doctoral degree,Machine Learning Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Nepal,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Indonesia,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
South Korea,Master’s degree,Currently not employed,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Poland,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
Belarus,Master’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
India,Doctoral degree,Other,3-5 years,Q7_Part_1,Python
Other,Bachelor’s degree,Software Engineer,1-2 years,Q7_Part_1,Python
Tunisia,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Ukraine,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
Taiwan,Master’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
Brazil,Master’s degree,Student,1-2 years,Q7_Part_1,Python
United States of America,Doctoral degree,Data Analyst,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Nigeria,Doctoral degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Germany,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
China,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
China,Master’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Italy,Doctoral degree,Research Scientist,1-2 years,Q7_Part_1,Python
India,Professional degree,Software Engineer,10-20 years,Q7_Part_1,Python
Taiwan,Master’s degree,Student,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Machine Learning Engineer,20+ years,Q7_Part_1,Python
Taiwan,Master’s degree,Other,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Other,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Singapore,Bachelor’s degree,Other,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,< 1 years,Q7_Part_1,Python
Russia,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
India,Master’s degree,Other,< 1 years,Q7_Part_1,Python
Other,Professional degree,Data Analyst,1-2 years,Q7_Part_1,Python
Other,Doctoral degree,Other,< 1 years,Q7_Part_1,Python
United Arab Emirates,Master’s degree,Research Scientist,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Other,Some college/university study without earning a bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Spain,Master’s degree,Other,< 1 years,Q7_Part_1,Python
India,No formal education past high school,Student,1-2 years,Q7_Part_1,Python
Colombia,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
Mexico,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Canada,Master’s degree,Data Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
India,I prefer not to answer,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
India,Master’s degree,Currently not employed,1-2 years,Q7_Part_1,Python
India,Master’s degree,Other,< 1 years,Q7_Part_1,Python
Viet Nam,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
Poland,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years,Q7_Part_1,Python
Other,Bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Other,1-2 years,Q7_Part_1,Python
France,No formal education past high school,Currently not employed,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Q7_Part_1,Python
Brazil,Professional degree,Business Analyst,< 1 years,Q7_Part_1,Python
Colombia,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
Egypt,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
India,Professional degree,Currently not employed,< 1 years,Q7_Part_1,Python
Other,Master’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Ghana,I prefer not to answer,Student,1-2 years,Q7_Part_1,Python
Russia,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
United States of America,Doctoral degree,Data Scientist,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Machine Learning Engineer,< 1 years,Q7_Part_1,Python
Poland,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
Ghana,Master’s degree,Student,< 1 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
Ireland,No formal education past high school,Student,5-10 years,Q7_Part_1,Python
United States of America,Master’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Other,Doctoral degree,Research Scientist,10-20 years,Q7_Part_1,Python
Ghana,Bachelor’s degree,Student,5-10 years,Q7_Part_1,Python
Netherlands,Master’s degree,Machine Learning Engineer,3-5 years,Q7_Part_1,Python
India,Master’s degree,Student,< 1 years,Q7_Part_1,Python
Canada,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
Nigeria,Bachelor’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Analyst,1-2 years,Q7_Part_1,Python
Other,Master’s degree,Product/Project Manager,< 1 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,10-20 years,Q7_Part_1,Python
Nigeria,I prefer not to answer,Data Scientist,< 1 years,Q7_Part_1,Python
France,I prefer not to answer,Currently not employed,20+ years,Q7_Part_1,Python
France,Master’s degree,Research Scientist,3-5 years,Q7_Part_1,Python
Netherlands,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Morocco,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Spain,Doctoral degree,Currently not employed,5-10 years,Q7_Part_1,Python
India,Master’s degree,Student,3-5 years,Q7_Part_1,Python
Belgium,Doctoral degree,Research Scientist,3-5 years,Q7_Part_1,Python
Germany,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Saudi Arabia,Master’s degree,Data Analyst,5-10 years,Q7_Part_1,Python
Russia,Doctoral degree,Research Scientist,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Currently not employed,3-5 years,Q7_Part_1,Python
Other,Master’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
Turkey,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Russia,Master’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
Italy,Professional degree,Research Scientist,< 1 years,Q7_Part_1,Python
United States of America,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Spain,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,Q7_Part_1,Python
Spain,Doctoral degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,No formal education past high school,Currently not employed,20+ years,Q7_Part_1,Python
India,Doctoral degree,Student,1-2 years,Q7_Part_1,Python
"Iran, Islamic Republic of...",Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
Spain,Doctoral degree,Research Scientist,20+ years,Q7_Part_1,Python
India,Bachelor’s degree,Other,< 1 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Other,10-20 years,Q7_Part_1,Python
United States of America,Master’s degree,Software Engineer,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Machine Learning Engineer,20+ years,Q7_Part_1,Python
Spain,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
Germany,Bachelor’s degree,Student,10-20 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Student,5-10 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Data Analyst,< 1 years,Q7_Part_1,Python
India,No formal education past high school,Student,3-5 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,5-10 years,Q7_Part_1,Python
Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,Q7_Part_1,Python
Peru,Some college/university study without earning a bachelor’s degree,Student,< 1 years,Q7_Part_1,Python
Other,Doctoral degree,Data Scientist,20+ years,Q7_Part_1,Python
United States of America,Master’s degree,Data Analyst,3-5 years,Q7_Part_1,Python
Egypt,Bachelor’s degree,Other,10-20 years,Q7_Part_1,Python
Germany,Doctoral degree,Data Scientist,5-10 years,Q7_Part_1,Python
Other,Doctoral degree,Currently not employed,3-5 years,Q7_Part_1,Python
Tunisia,Professional degree,Research Scientist,1-2 years,Q7_Part_1,Python
Romania,Master’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
India,Master’s degree,Student,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Student,1-2 years,Q7_Part_1,Python
Russia,Bachelor’s degree,Data Scientist,1-2 years,Q7_Part_1,Python
United States of America,Master’s degree,Student,1-2 years,Q7_Part_1,Python
India,Master’s degree,Other,1-2 years,Q7_Part_1,Python
India,Bachelor’s degree,Statistician,1-2 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,3-5 years,Q7_Part_1,Python
India,Master’s degree,Data Scientist,5-10 years,Q7_Part_1,Python
United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years,Q7_Part_1,Python
United States of America,Bachelor’s degree,Currently not employed,< 1 years,Q7_Part_1,Python
United States of America,Doctoral degree,Data Scientist,20+ years,Q7_Part_1,Python
